;A00;B05;C;D;E;F45;G00; H55;I00;J00;k00;L75;MNO;OP; I-S/Pt
Tanger -  Tetouan  - Al Hoceima;11891;840;0;28448;3778;6297;12514;2790;3814;1765;14604;8983;8983;1535;15558
L'Oriental;8185;175;569;3285;2846;5605;3280;1028;3330;1096;5705;5886;5386;409;8126
Fès - Meknès;19672;0;14;10326;1106;5007;7214;2683;2940;2179;9753;7550;10356;1491;13117
Rabat - Sal? - K?nitra ;20128;70;11;13524;3342;12000;9933;2535;17211;8507;21587;29585;12690;2971;18643
B?ni  Mellal - Kh?nifra ;11727;0;15870;2509;1001;2629;3714;849;1371;502;4872;4320;6293;759;6571
Casablanca- Settat;19148;240;142;95044;14043;14726;31789;5921;26660;32503;39786;15822;16307;3851;41422
Marrakech - Safi;15201;439;5221;5600;1098;5239;8177;7444;3156;1987;10580;5749;8820;1734;12706
Dr?a- Tafilalet;5703;0;1960;126;134;1815;1190;1050;1528;160;3084;2774;4392;524;3591
Souss - Massa ;11734;2106;300;10139;240;2988;7146;4161;3003;1799;8600;5582;7169;725;8906
Guelmim - Oued Noun;483;1154;0;605;138;945;846;132;546;62;1731;5612;2010;183;1527
La?youne - Sakia El Hamra;165;2396;1368;2683;55;1700;1412;170;553;251;1813;4363;1813;241;151
Dakhla - Oued Ed-Dahab ;46;3916;0;464;123;736;596;45;312;61;1122;5855;682;69;129
